margin,freq
0.01,2
0.02,2
0.03,1
0.04,3
0.05,1
0.06,2
0.07,1
0.08,3
0.11,1
0.13,1
0.14,1
0.17,1
0.18,2
0.19,2
0.2,2
0.21,4
0.22,1
0.23,1
0.24,3
0.25,1
0.27,1
0.28,1
0.3,1
0.31,2
0.32,2
0.33,2
0.34,3
0.36,1
0.37,1
0.38,1
0.39,3
0.4,1
0.41,3
0.42,3
0.44,1
0.45,1
0.47,3
0.5,2
0.51,1
0.53,1
0.54,1
0.55,4
0.56,2
0.57,2
0.58,3
0.59,1
0.6,1
0.63,1
0.64,1
0.65,2
0.66,2
0.67,1
0.68,1
0.69,6
0.7,3
0.72,3
0.73,2
0.75,2
0.76,2
0.77,1
0.78,2
0.79,2
0.81,1
0.82,1
0.83,3
0.84,1
0.85,3
0.89,1
0.92,1
0.94,1
0.95,1
0.97,1
0.98,1
0.99,1
1.01,2
1.07,1
1.08,1
1.12,1
1.13,2
1.14,3
1.16,1
1.2,1
1.22,1
1.35,1
1.36,1
1.37,1
1.52,1
1.53,1
1.55,1
1.57,1
1.6,1
1.63,1
1.64,1
3.3,1
8900.313,1
